	domain	phylum	class	order	family	genus	species
ASV_239	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	Blixaea	NA
ASV_240	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_241	Eukaryota	Protalveolata	Syndiniales	NA	NA	NA	NA
ASV_242	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_243	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_244	Eukaryota	NA	NA	NA	NA	Telonema	NA
ASV_245	Eukaryota	Arthropoda	Maxillopoda	Calanoida	NA	NA	NA
ASV_246	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_247	NA	NA	NA	NA	NA	NA	NA
ASV_248	Eukaryota	Dinoflagellata	Dinophyceae	Peridiniales	NA	Blixaea	NA
ASV_249	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_250	NA	NA	NA	NA	NA	NA	NA
ASV_251	Eukaryota	Diatomea	Mediophyceae	NA	NA	Chaetoceros	NA
ASV_252	Eukaryota	Mollusca	Bivalvia	Veneroida	NA	NA	NA
ASV_253	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidium	NA
ASV_254	Eukaryota	Annelida	Polychaeta	Terebellida	NA	NA	NA
ASV_255	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_256	Eukaryota	Protalveolata	Syndiniales	NA	NA	Amoebophrya	NA
ASV_257	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_258	NA	NA	NA	NA	NA	NA	NA
ASV_259	Eukaryota	Ciliophora	Intramacronucleata	NA	NA	NA	NA
ASV_260	NA	NA	NA	NA	NA	NA	NA
ASV_261	Eukaryota	NA	Trebouxiophyceae	NA	NA	NA	NA
ASV_262	Eukaryota	NA	NA	Cryptomonadales	NA	NA	NA
ASV_263	Eukaryota	Ciliophora	Intramacronucleata	Spirotrichea	Oligotrichia	Strombidium	NA
ASV_264	NA	NA	NA	NA	NA	NA	NA
ASV_265	NA	NA	NA	NA	NA	NA	NA
ASV_266	Eukaryota	NA	NA	NA	NA	NA	NA
ASV_267	Eukaryota	Picozoa	Picomonadida	Picomonadidae	NA	Picomonas	NA
ASV_268	Eukaryota	Protalveolata	Syndiniales	NA	Syndiniales Group I	NA	NA
ASV_269	Eukaryota	Dinoflagellata	Dinophyceae	Gymnodiniphycidae	NA	NA	NA
